symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-06-29 00:00:00+00:00,94.4,94.55,93.63,93.97,36531006,22.0436694789,22.0786964961,21.8638641241,21.9432586963,146124024,0.0,1.0
AAPL,2016-06-30 00:00:00+00:00,95.6,95.77,94.3,94.44,35836356,22.3238856164,22.3635829025,22.0203181341,22.0530100168,143345424,0.0,1.0
AAPL,2016-07-01 00:00:00+00:00,95.89,96.465,95.33,95.49,26026540,22.3916045162,22.5258747488,22.2608369854,22.2981991371,104106160,0.0,1.0
AAPL,2016-07-05 00:00:00+00:00,94.99,95.4,94.46,95.39,27705210,22.1814424132,22.2771829268,22.0576802858,22.2748477923,110820840,0.0,1.0
AAPL,2016-07-06 00:00:00+00:00,95.53,95.66,94.37,94.6,30949090,22.307539675,22.3378964232,22.0366640755,22.0903721685,123796360,0.0,1.0
AAPL,2016-07-07 00:00:00+00:00,95.94,96.5,95.62,95.7,25139558,22.4032801886,22.5340477194,22.3285558853,22.3472369611,100558232,0.0,1.0
AAPL,2016-07-08 00:00:00+00:00,96.68,96.89,96.05,96.49,28912103,22.5760801401,22.6251179641,22.4289666679,22.531712585,115648412,0.0,1.0
AAPL,2016-07-11 00:00:00+00:00,96.98,97.65,96.73,96.75,23794945,22.6461341744,22.8025881845,22.5877558125,22.5924260814,95179780,0.0,1.0
AAPL,2016-07-12 00:00:00+00:00,97.42,97.7,97.12,97.17,24167463,22.7488800915,22.8142638569,22.6788260571,22.6905017295,96669852,0.0,1.0
AAPL,2016-07-13 00:00:00+00:00,96.87,97.67,96.84,97.41,25892171,22.6204476952,22.8072584535,22.6134422917,22.746544957,103568684,0.0,1.0
AAPL,2016-07-14 00:00:00+00:00,98.79,98.99,97.32,97.39,38918997,23.0687935151,23.1154962046,22.7255287467,22.741874688,155675988,0.0,1.0
AAPL,2016-07-15 00:00:00+00:00,98.78,99.3,98.5,98.92,30136990,23.0664583806,23.1878853735,23.0010746152,23.0991502633,120547960,0.0,1.0
